Data;Valor;Dias;Valor_Previsto;Erro;Erro_Absoluto;Erro_Percentual
2025-01-14;6,0559;78;5,885974350802158;0,16992564919784225;0,16992564919784225;2,805952033518424
2025-01-15;6,0098;79;5,884044041715458;0,12575595828454222;0,12575595828454222;2,0925148637981663
2025-01-16;6,0499;80;5,882113732628757;0,16778626737124291;0,16778626737124291;2,77337257427797
2025-01-17;6,0704;81;5,880183423542057;0,1902165764579431;0,1902165764579431;3,13350975978425
2025-01-20;6,0315;84;5,874392496281955;0,15710750371804494;0,15710750371804494;2,604783283064659
2025-01-21;6,022;85;5,872462187195255;0,14953781280474487;0,14953781280474487;2,4831918433202405
2025-01-22;5,9415;86;5,8705318781085545;0,07096812189144508;0,07096812189144508;1,194447898534799
2025-01-23;5,9243;87;5,8686015690218545;0,0556984309781452;0,0556984309781452;0,9401689816205323
2025-01-24;5,9109;88;5,866671259935154;0,04422874006484623;0,04422874006484623;0,7482572884813857
2025-01-27;5,8926;91;5,860880332675053;0,03171966732494713;0,03171966732494713;0,5382966317915204
2025-01-28;5,8571;92;5,858950023588352;-0,0018500235883518457;0,0018500235883518457;0,03158599969868785
2025-01-29;5,8563;93;5,857019714501652;-0,0007197145016517581;0,0007197145016517581;0,012289577064900331
2025-01-30;5,874;94;5,855089405414951;0,018910594585048734;0,018910594585048734;0,32193725885340035
2025-01-31;5,841;95;5,853159096328251;-0,01215909632825074;0,01215909632825074;0,2081680590352806
2025-02-03;5,8066;98;5,847368169068149;-0,04076816906814873;0,04076816906814873;0,7021005247158186
2025-02-04;5,754;99;5,845437859981448;-0,09143785998144871;0,09143785998144871;1,589118178335918
2025-02-05;5,7973;100;5,843507550894748;-0,04620755089474837;0,04620755089474837;0,7970529538707394
2025-02-06;5,7617;101;5,841577241808047;-0,07987724180804712;0,07987724180804712;1,3863485049212405
2025-02-07;5,8058;102;5,839646932721347;-0,033846932721347756;0,033846932721347756;0,5829848207197589
2025-02-10;5,7874;105;5,833856005461246;-0,04645600546124573;0,04645600546124573;0,8027094284349748
2025-02-11;5,7635;106;5,831925696374546;-0,06842569637454599;0,06842569637454599;1,1872247137077467
2025-02-12;5,7649;107;5,829995387287845;-0,06509538728784481;0,06509538728784481;1,1291676748572363
2025-02-13;5,7669;108;5,828065078201145;-0,06116507820114503;0,06116507820114503;1,0606231805848034
2025-02-14;5,7042;109;5,826134769114444;-0,12193476911444368;0,12193476911444368;2,137631378886499
2025-02-17;5,713;112;5,820343841854343;-0,10734384185434287;0,10734384185434287;1,878939993949639
2025-02-18;5,6892;113;5,818413532767642;-0,12921353276764247;0,12921353276764247;2,271207424025214
2025-02-19;5,7214;114;5,816483223680942;-0,09508322368094202;0,09508322368094202;1,661887364647499
2025-02-20;5,7029;115;5,814552914594241;-0,11165291459424154;0,11165291459424154;1,957826975648206
2025-02-21;5,732;116;5,812622605507541;-0,08062260550754097;0,08062260550754097;1,4065353368377698
2025-02-24;5,7785;119;5,806831678247439;-0,028331678247439207;0,028331678247439207;0,49029468283186306
